============================================================
                  驾驶员监控会话报告
============================================================
 报告生成时间: 2026-05-10 23:45:10
 本次驾驶总长: 8 分 20 秒
------------------------------------------------------------
 疲劳事件触发: 32 次
 分心事件触发: 207 次
------------------------------------------------------------
【事件追溯 / Event Tracking】
 01. 2026-05-10 23:37:00 | [一般] 行为: 打电话      | 疲劳: 人员特征未对齐/光线过暗
 02. 2026-05-10 23:37:02 | [一般] 行为: 疑似打电话    | 疲劳: 正常
 03. 2026-05-10 23:37:05 | [一般] 行为: 向后取物     | 疲劳: 正常
 04. 2026-05-10 23:37:07 | [一般] 行为: 向后取物     | 疲劳: 正常
 05. 2026-05-10 23:37:09 | [一般] 行为: 向后取物     | 疲劳: 正常
 06. 2026-05-10 23:37:11 | [一般] 行为: 向后取物     | 疲劳: 正常
 07. 2026-05-10 23:37:13 | [一般] 行为: 向后取物     | 疲劳: 正常
 08. 2026-05-10 23:37:15 | [一般] 行为: 向后取物     | 疲劳: 正常
 09. 2026-05-10 23:37:17 | [一般] 行为: 向后取物     | 疲劳: 正常
 10. 2026-05-10 23:37:19 | [一般] 行为: 向后取物     | 疲劳: 正常
 11. 2026-05-10 23:37:21 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 12. 2026-05-10 23:37:23 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 13. 2026-05-10 23:37:25 | [一般] 行为: 向后取物     | 疲劳: 正常
 14. 2026-05-10 23:37:27 | [一般] 行为: 向后取物     | 疲劳: 正常
 15. 2026-05-10 23:37:29 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 16. 2026-05-10 23:37:31 | [一般] 行为: 向后取物     | 疲劳: 正常
 17. 2026-05-10 23:37:33 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 18. 2026-05-10 23:37:35 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 19. 2026-05-10 23:37:37 | [一般] 行为: 向后取物     | 疲劳: 正常
 20. 2026-05-10 23:37:39 | [一般] 行为: 发短信      | 疲劳: 正常
 21. 2026-05-10 23:37:41 | [严重] 行为: 发短信      | 疲劳: 闭眼
 22. 2026-05-10 23:37:43 | [严重] 行为: 发短信      | 疲劳: 极度疲劳
 23. 2026-05-10 23:37:45 | [严重] 行为: 发短信      | 疲劳: 极度疲劳 (PERCLOS超标)
 24. 2026-05-10 23:37:47 | [严重] 行为: 发短信      | 疲劳: 极度疲劳 (PERCLOS超标)
 25. 2026-05-10 23:37:49 | [严重] 行为: 发短信      | 疲劳: 极度疲劳 (PERCLOS超标)
 26. 2026-05-10 23:37:51 | [严重] 行为: 发短信      | 疲劳: 极度疲劳 (PERCLOS超标)
 27. 2026-05-10 23:37:53 | [严重] 行为: 发短信      | 疲劳: 极度疲劳 (PERCLOS超标)
 28. 2026-05-10 23:37:55 | [严重] 行为: 发短信      | 疲劳: 极度疲劳 (PERCLOS超标)
 29. 2026-05-10 23:37:57 | [严重] 行为: 发短信      | 疲劳: 极度疲劳 (PERCLOS超标)
 30. 2026-05-10 23:37:59 | [一般] 行为: 发短信      | 疲劳: 正常
 31. 2026-05-10 23:38:01 | [一般] 行为: 发短信      | 疲劳: 正常
 32. 2026-05-10 23:38:03 | [一般] 行为: 发短信      | 疲劳: 正常
 33. 2026-05-10 23:38:05 | [一般] 行为: 发短信      | 疲劳: 正常
 34. 2026-05-10 23:38:07 | [一般] 行为: 发短信      | 疲劳: 正常
 35. 2026-05-10 23:38:10 | [一般] 行为: 发短信      | 疲劳: 正常
 36. 2026-05-10 23:38:12 | [一般] 行为: 发短信      | 疲劳: 正常
 37. 2026-05-10 23:38:14 | [一般] 行为: 发短信      | 疲劳: 正常
 38. 2026-05-10 23:38:16 | [一般] 行为: 发短信      | 疲劳: 正常
 39. 2026-05-10 23:38:18 | [一般] 行为: 发短信      | 疲劳: 正常
 40. 2026-05-10 23:38:20 | [一般] 行为: 发短信      | 疲劳: 正常
 41. 2026-05-10 23:38:22 | [一般] 行为: 向后取物     | 疲劳: 正常
 42. 2026-05-10 23:38:24 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 43. 2026-05-10 23:38:26 | [一般] 行为: 发短信      | 疲劳: 正常
 44. 2026-05-10 23:38:28 | [一般] 行为: 发短信      | 疲劳: 人员特征未对齐/光线过暗
 45. 2026-05-10 23:38:30 | [一般] 行为: 发短信      | 疲劳: 正常
 46. 2026-05-10 23:38:32 | [一般] 行为: 发短信      | 疲劳: 人员特征未对齐/光线过暗
 47. 2026-05-10 23:38:34 | [一般] 行为: 发短信      | 疲劳: 正常
 48. 2026-05-10 23:38:36 | [一般] 行为: 发短信      | 疲劳: 人员特征未对齐/光线过暗
 49. 2026-05-10 23:38:38 | [一般] 行为: 发短信      | 疲劳: 人员特征未对齐/光线过暗
 50. 2026-05-10 23:38:40 | [一般] 行为: 发短信      | 疲劳: 正常
 51. 2026-05-10 23:38:42 | [一般] 行为: 发短信      | 疲劳: 人员特征未对齐/光线过暗
 52. 2026-05-10 23:38:44 | [一般] 行为: 发短信      | 疲劳: 人员特征未对齐/光线过暗
 53. 2026-05-10 23:38:47 | [一般] 行为: 发短信      | 疲劳: 人员特征未对齐/光线过暗
 54. 2026-05-10 23:38:49 | [一般] 行为: 发短信      | 疲劳: 正常
 55. 2026-05-10 23:38:51 | [一般] 行为: 发短信      | 疲劳: 人员特征未对齐/光线过暗
 56. 2026-05-10 23:38:56 | [一般] 行为: 操作中控     | 疲劳: 正常
 57. 2026-05-10 23:38:58 | [一般] 行为: 操作中控     | 疲劳: 正常
 58. 2026-05-10 23:39:00 | [严重] 行为: 操作中控     | 疲劳: 闭眼
 59. 2026-05-10 23:39:02 | [一般] 行为: 操作中控     | 疲劳: 正常
 60. 2026-05-10 23:39:04 | [严重] 行为: 操作中控     | 疲劳: 极度疲劳 (PERCLOS超标)
 61. 2026-05-10 23:39:06 | [严重] 行为: 操作中控     | 疲劳: 极度疲劳 (PERCLOS超标)
 62. 2026-05-10 23:39:08 | [严重] 行为: 操作中控     | 疲劳: 极度疲劳 (PERCLOS超标)
 63. 2026-05-10 23:39:10 | [严重] 行为: 操作中控     | 疲劳: 极度疲劳 (PERCLOS超标)
 64. 2026-05-10 23:39:12 | [一般] 行为: 操作中控     | 疲劳: 正常
 65. 2026-05-10 23:39:14 | [一般] 行为: 操作中控     | 疲劳: 正常
 66. 2026-05-10 23:39:16 | [严重] 行为: 发短信      | 疲劳: 闭眼
 67. 2026-05-10 23:39:19 | [一般] 行为: 发短信      | 疲劳: 人员特征未对齐/光线过暗
 68. 2026-05-10 23:39:21 | [一般] 行为: 发短信      | 疲劳: 正常
 69. 2026-05-10 23:39:23 | [一般] 行为: 发短信      | 疲劳: 正常
 70. 2026-05-10 23:39:25 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 71. 2026-05-10 23:39:27 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 72. 2026-05-10 23:39:29 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 73. 2026-05-10 23:39:31 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 74. 2026-05-10 23:39:33 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 75. 2026-05-10 23:39:35 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 76. 2026-05-10 23:39:37 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 77. 2026-05-10 23:39:39 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 78. 2026-05-10 23:39:41 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 79. 2026-05-10 23:39:43 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 80. 2026-05-10 23:39:45 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 81. 2026-05-10 23:39:47 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 82. 2026-05-10 23:39:49 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 83. 2026-05-10 23:39:51 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 84. 2026-05-10 23:39:53 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 85. 2026-05-10 23:39:55 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 86. 2026-05-10 23:39:57 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 87. 2026-05-10 23:39:59 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 88. 2026-05-10 23:40:01 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 89. 2026-05-10 23:40:03 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 90. 2026-05-10 23:40:05 | [一般] 行为: 向后取物     | 疲劳: 人员特征未对齐/光线过暗
 91. 2026-05-10 23:40:07 | [一般] 行为: 发短信      | 疲劳: 正常
 92. 2026-05-10 23:40:09 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 93. 2026-05-10 23:40:11 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 94. 2026-05-10 23:40:13 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 95. 2026-05-10 23:40:15 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 96. 2026-05-10 23:40:17 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 97. 2026-05-10 23:40:19 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 98. 2026-05-10 23:40:21 | [一般] 行为: 向后取物     | 疲劳: 正常
 99. 2026-05-10 23:40:23 | [严重] 行为: 正常驾驶     | 疲劳: 极度疲劳 (PERCLOS超标)
 100. 2026-05-10 23:40:25 | [一般] 行为: 向后取物     | 疲劳: 正常
 101. 2026-05-10 23:40:27 | [一般] 行为: 向后取物     | 疲劳: 正常
 102. 2026-05-10 23:40:29 | [严重] 行为: 向后取物     | 疲劳: 极度疲劳 (PERCLOS超标)
 103. 2026-05-10 23:40:31 | [严重] 行为: 向后取物     | 疲劳: 极度疲劳 (PERCLOS超标)
 104. 2026-05-10 23:40:33 | [严重] 行为: 向后取物     | 疲劳: 极度疲劳 (PERCLOS超标)
 105. 2026-05-10 23:40:35 | [严重] 行为: 与乘客交谈    | 疲劳: 极度疲劳 (PERCLOS超标)
 106. 2026-05-10 23:40:37 | [一般] 行为: 向后取物     | 疲劳: 正常
 107. 2026-05-10 23:40:39 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 108. 2026-05-10 23:40:41 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 109. 2026-05-10 23:40:43 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 110. 2026-05-10 23:40:45 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 111. 2026-05-10 23:40:47 | [一般] 行为: 向后取物     | 疲劳: 正常
 112. 2026-05-10 23:40:49 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 113. 2026-05-10 23:40:52 | [一般] 行为: 向后取物     | 疲劳: 正常
 114. 2026-05-10 23:40:54 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 115. 2026-05-10 23:40:56 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 116. 2026-05-10 23:40:58 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 117. 2026-05-10 23:41:00 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 118. 2026-05-10 23:41:02 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 119. 2026-05-10 23:41:04 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 120. 2026-05-10 23:41:06 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 121. 2026-05-10 23:41:08 | [一般] 行为: 向后取物     | 疲劳: 正常
 122. 2026-05-10 23:41:10 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 123. 2026-05-10 23:41:12 | [一般] 行为: 向后取物     | 疲劳: 正常
 124. 2026-05-10 23:41:14 | [一般] 行为: 向后取物     | 疲劳: 正常
 125. 2026-05-10 23:41:16 | [一般] 行为: 向后取物     | 疲劳: 正常
 126. 2026-05-10 23:41:18 | [一般] 行为: 向后取物     | 疲劳: 正常
 127. 2026-05-10 23:41:20 | [一般] 行为: 向后取物     | 疲劳: 正常
 128. 2026-05-10 23:41:22 | [一般] 行为: 向后取物     | 疲劳: 正常
 129. 2026-05-10 23:41:24 | [一般] 行为: 向后取物     | 疲劳: 正常
 130. 2026-05-10 23:41:26 | [一般] 行为: 向后取物     | 疲劳: 正常
 131. 2026-05-10 23:41:28 | [一般] 行为: 向后取物     | 疲劳: 正常
 132. 2026-05-10 23:41:30 | [一般] 行为: 向后取物     | 疲劳: 正常
 133. 2026-05-10 23:41:32 | [一般] 行为: 向后取物     | 疲劳: 正常
 134. 2026-05-10 23:41:34 | [一般] 行为: 向后取物     | 疲劳: 正常
 135. 2026-05-10 23:41:36 | [一般] 行为: 向后取物     | 疲劳: 正常
 136. 2026-05-10 23:41:38 | [一般] 行为: 向后取物     | 疲劳: 正常
 137. 2026-05-10 23:41:40 | [一般] 行为: 向后取物     | 疲劳: 正常
 138. 2026-05-10 23:41:42 | [一般] 行为: 向后取物     | 疲劳: 正常
 139. 2026-05-10 23:41:44 | [一般] 行为: 向后取物     | 疲劳: 正常
 140. 2026-05-10 23:41:46 | [一般] 行为: 向后取物     | 疲劳: 正常
 141. 2026-05-10 23:41:48 | [一般] 行为: 向后取物     | 疲劳: 正常
 142. 2026-05-10 23:41:50 | [一般] 行为: 向后取物     | 疲劳: 正常
 143. 2026-05-10 23:41:52 | [一般] 行为: 向后取物     | 疲劳: 正常
 144. 2026-05-10 23:41:54 | [一般] 行为: 向后取物     | 疲劳: 正常
 145. 2026-05-10 23:41:56 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 146. 2026-05-10 23:41:58 | [一般] 行为: 向后取物     | 疲劳: 正常
 147. 2026-05-10 23:42:00 | [一般] 行为: 向后取物     | 疲劳: 正常
 148. 2026-05-10 23:42:02 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 149. 2026-05-10 23:42:04 | [一般] 行为: 向后取物     | 疲劳: 正常
 150. 2026-05-10 23:42:06 | [一般] 行为: 向后取物     | 疲劳: 正常
 151. 2026-05-10 23:42:08 | [一般] 行为: 向后取物     | 疲劳: 正常
 152. 2026-05-10 23:42:10 | [一般] 行为: 疑似打电话    | 疲劳: 正常
 153. 2026-05-10 23:42:12 | [一般] 行为: 向后取物     | 疲劳: 正常
 154. 2026-05-10 23:42:15 | [一般] 行为: 向后取物     | 疲劳: 正常
 155. 2026-05-10 23:42:17 | [一般] 行为: 发短信      | 疲劳: 正常
 156. 2026-05-10 23:42:23 | [一般] 行为: 发短信      | 疲劳: 正常
 157. 2026-05-10 23:42:25 | [一般] 行为: 发短信      | 疲劳: 正常
 158. 2026-05-10 23:42:31 | [一般] 行为: 发短信      | 疲劳: 正常
 159. 2026-05-10 23:42:33 | [一般] 行为: 发短信      | 疲劳: 正常
 160. 2026-05-10 23:42:37 | [一般] 行为: 发短信      | 疲劳: 正常
 161. 2026-05-10 23:42:39 | [一般] 行为: 发短信      | 疲劳: 正常
 162. 2026-05-10 23:42:49 | [一般] 行为: 疑似打电话    | 疲劳: 正常
 163. 2026-05-10 23:43:09 | [一般] 行为: 发短信      | 疲劳: 正常
 164. 2026-05-10 23:43:27 | [一般] 行为: 发短信      | 疲劳: 正常
 165. 2026-05-10 23:43:35 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 166. 2026-05-10 23:43:37 | [一般] 行为: 向后取物     | 疲劳: 正常
 167. 2026-05-10 23:43:39 | [一般] 行为: 向后取物     | 疲劳: 正常
 168. 2026-05-10 23:43:41 | [一般] 行为: 向后取物     | 疲劳: 正常
 169. 2026-05-10 23:43:43 | [一般] 行为: 向后取物     | 疲劳: 正常
 170. 2026-05-10 23:43:45 | [一般] 行为: 向后取物     | 疲劳: 正常
 171. 2026-05-10 23:43:47 | [一般] 行为: 向后取物     | 疲劳: 正常
 172. 2026-05-10 23:43:49 | [一般] 行为: 向后取物     | 疲劳: 正常
 173. 2026-05-10 23:43:52 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 174. 2026-05-10 23:43:54 | [一般] 行为: 向后取物     | 疲劳: 正常
 175. 2026-05-10 23:43:56 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 176. 2026-05-10 23:43:58 | [一般] 行为: 向后取物     | 疲劳: 正常
 177. 2026-05-10 23:44:00 | [一般] 行为: 向后取物     | 疲劳: 人员特征未对齐/光线过暗
 178. 2026-05-10 23:44:02 | [一般] 行为: 向后取物     | 疲劳: 正常
 179. 2026-05-10 23:44:04 | [一般] 行为: 向后取物     | 疲劳: 正常
 180. 2026-05-10 23:44:06 | [一般] 行为: 向后取物     | 疲劳: 正常
 181. 2026-05-10 23:44:08 | [一般] 行为: 疑似打电话    | 疲劳: 正常
 182. 2026-05-10 23:44:10 | [一般] 行为: 整理仪容     | 疲劳: 正常
 183. 2026-05-10 23:44:12 | [一般] 行为: 向后取物     | 疲劳: 正常
 184. 2026-05-10 23:44:14 | [一般] 行为: 向后取物     | 疲劳: 正常
 185. 2026-05-10 23:44:16 | [一般] 行为: 向后取物     | 疲劳: 正常
 186. 2026-05-10 23:44:18 | [一般] 行为: 向后取物     | 疲劳: 正常
 187. 2026-05-10 23:44:20 | [一般] 行为: 向后取物     | 疲劳: 正常
 188. 2026-05-10 23:44:22 | [一般] 行为: 向后取物     | 疲劳: 正常
 189. 2026-05-10 23:44:24 | [一般] 行为: 向后取物     | 疲劳: 正常
 190. 2026-05-10 23:44:26 | [一般] 行为: 向后取物     | 疲劳: 正常
 191. 2026-05-10 23:44:28 | [一般] 行为: 向后取物     | 疲劳: 正常
 192. 2026-05-10 23:44:31 | [一般] 行为: 向后取物     | 疲劳: 正常
 193. 2026-05-10 23:44:33 | [一般] 行为: 整理仪容     | 疲劳: 正常
 194. 2026-05-10 23:44:35 | [一般] 行为: 向后取物     | 疲劳: 正常
 195. 2026-05-10 23:44:38 | [一般] 行为: 向后取物     | 疲劳: 正常
 196. 2026-05-10 23:44:40 | [一般] 行为: 向后取物     | 疲劳: 正常
 197. 2026-05-10 23:44:42 | [一般] 行为: 向后取物     | 疲劳: 正常
 198. 2026-05-10 23:44:44 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 199. 2026-05-10 23:44:46 | [一般] 行为: 向后取物     | 疲劳: 正常
 200. 2026-05-10 23:44:48 | [一般] 行为: 向后取物     | 疲劳: 正常
 201. 2026-05-10 23:44:50 | [一般] 行为: 向后取物     | 疲劳: 正常
 202. 2026-05-10 23:44:54 | [一般] 行为: 向后取物     | 疲劳: 正常
 203. 2026-05-10 23:44:56 | [一般] 行为: 向后取物     | 疲劳: 正常
 204. 2026-05-10 23:44:59 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 205. 2026-05-10 23:45:01 | [一般] 行为: 喝水       | 疲劳: 正常
 206. 2026-05-10 23:45:04 | [一般] 行为: 向后取物     | 疲劳: 正常
 207. 2026-05-10 23:45:06 | [一般] 行为: 向后取物     | 疲劳: 正常
 208. 2026-05-10 23:45:08 | [一般] 行为: 向后取物     | 疲劳: 正常
============================================================
 综合评价: 高风险，建议立即休息
