============================================================
                  驾驶员监控会话报告
============================================================
 报告生成时间: 2026-05-11 00:00:44
 本次驾驶总长: 13 分 55 秒
------------------------------------------------------------
 疲劳事件触发: 213 次
 分心事件触发: 364 次
------------------------------------------------------------
【事件追溯 / Event Tracking】
 01. 2026-05-10 23:46:50 | [一般] 行为: 整理仪容     | 疲劳: 正常
 02. 2026-05-10 23:46:52 | [一般] 行为: 向后取物     | 疲劳: 正常
 03. 2026-05-10 23:46:54 | [一般] 行为: 正常驾驶     | 疲劳: 闭眼
 04. 2026-05-10 23:46:56 | [一般] 行为: 向后取物     | 疲劳: 正常
 05. 2026-05-10 23:46:58 | [一般] 行为: 向后取物     | 疲劳: 正常
 06. 2026-05-10 23:47:01 | [严重] 行为: 向后取物     | 疲劳: 闭眼
 07. 2026-05-10 23:47:03 | [严重] 行为: 向后取物     | 疲劳: 极度疲劳 (PERCLOS超标)
 08. 2026-05-10 23:47:05 | [严重] 行为: 向后取物     | 疲劳: 极度疲劳 (PERCLOS超标)
 09. 2026-05-10 23:47:07 | [严重] 行为: 向后取物     | 疲劳: 极度疲劳 (PERCLOS超标)
 10. 2026-05-10 23:47:09 | [严重] 行为: 向后取物     | 疲劳: 极度疲劳 (PERCLOS超标)
 11. 2026-05-10 23:47:11 | [严重] 行为: 向后取物     | 疲劳: 极度疲劳 (PERCLOS超标)
 12. 2026-05-10 23:47:13 | [严重] 行为: 向后取物     | 疲劳: 极度疲劳 (PERCLOS超标)
 13. 2026-05-10 23:47:15 | [严重] 行为: 操作中控     | 疲劳: 极度疲劳 (PERCLOS超标)
 14. 2026-05-10 23:47:18 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 15. 2026-05-10 23:47:20 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 16. 2026-05-10 23:47:22 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 17. 2026-05-10 23:47:24 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 18. 2026-05-10 23:47:26 | [一般] 行为: 打电话      | 疲劳: 人员特征未对齐/光线过暗
 19. 2026-05-10 23:47:28 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 20. 2026-05-10 23:47:30 | [一般] 行为: 打电话      | 疲劳: 人员特征未对齐/光线过暗
 21. 2026-05-10 23:47:32 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 22. 2026-05-10 23:47:34 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 23. 2026-05-10 23:47:36 | [一般] 行为: 打电话      | 疲劳: 人员特征未对齐/光线过暗
 24. 2026-05-10 23:47:38 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 25. 2026-05-10 23:47:40 | [一般] 行为: 打电话      | 疲劳: 人员特征未对齐/光线过暗
 26. 2026-05-10 23:47:42 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 27. 2026-05-10 23:47:44 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 28. 2026-05-10 23:47:46 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 29. 2026-05-10 23:47:48 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 30. 2026-05-10 23:47:50 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 31. 2026-05-10 23:47:52 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 32. 2026-05-10 23:47:54 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 33. 2026-05-10 23:47:57 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 34. 2026-05-10 23:47:59 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 35. 2026-05-10 23:48:01 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 36. 2026-05-10 23:48:03 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 37. 2026-05-10 23:48:05 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 38. 2026-05-10 23:48:07 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 39. 2026-05-10 23:48:09 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 40. 2026-05-10 23:48:11 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 41. 2026-05-10 23:48:13 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 42. 2026-05-10 23:48:15 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 43. 2026-05-10 23:48:17 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
