============================================================
               📊 驾驶员全息健康监控总表 (Session Report)
============================================================
 📅 报告生成时间: 2026-03-01 18:25:34
 ⏱️ 本次驾驶总长: 1 分钟 7 秒
------------------------------------------------------------
 ⚠️ 疲劳驾驶触发: 12 次
 📱 分心驾驶触发: 23 次
------------------------------------------------------------
【危险事件详细追溯 / Event Tracking】
 01. 2026-03-01 18:24:42 | ⚠️[一般违规] 动作: 使用手机   | 精神: 正常
 02. 2026-03-01 18:24:44 | ⚠️[一般违规] 动作: 使用手机   | 精神: 正常
 03. 2026-03-01 18:24:47 | ⚠️[一般违规] 动作: 使用手机   | 精神: 正常
 04. 2026-03-01 18:24:49 | ⚠️[一般违规] 动作: 使用手机   | 精神: 正常
 05. 2026-03-01 18:24:51 | 🚨[极度危险] 动作: 使用手机   | 精神: 极度疲劳
 06. 2026-03-01 18:24:54 | 🚨[极度危险] 动作: 使用手机   | 精神: 极度疲劳 (PERCLOS超标)
 07. 2026-03-01 18:24:56 | 🚨[极度危险] 动作: 使用手机   | 精神: 极度疲劳 (PERCLOS超标)
 08. 2026-03-01 18:24:58 | 🚨[极度危险] 动作: 使用手机   | 精神: 极度疲劳 (PERCLOS超标)
 09. 2026-03-01 18:25:00 | 🚨[极度危险] 动作: 使用手机   | 精神: 极度疲劳 (PERCLOS超标)
 10. 2026-03-01 18:25:04 | ⚠️[一般违规] 动作: 正常驾驶   | 精神: 闭眼
 11. 2026-03-01 18:25:06 | ⚠️[一般违规] 动作: 使用手机   | 精神: 正常
 12. 2026-03-01 18:25:08 | ⚠️[一般违规] 动作: 使用手机   | 精神: 正常
 13. 2026-03-01 18:25:10 | ⚠️[一般违规] 动作: 使用手机   | 精神: 人员特征未对齐/光线过暗
 14. 2026-03-01 18:25:12 | ⚠️[一般违规] 动作: 使用手机   | 精神: 正常
 15. 2026-03-01 18:25:14 | 🚨[极度危险] 动作: 喝水     | 精神: 极度疲劳
 16. 2026-03-01 18:25:16 | 🚨[极度危险] 动作: 喝水     | 精神: 极度疲劳 (PERCLOS超标)
 17. 2026-03-01 18:25:18 | 🚨[极度危险] 动作: 使用手机   | 精神: 极度疲劳 (PERCLOS超标)
 18. 2026-03-01 18:25:20 | 🚨[极度危险] 动作: 使用手机   | 精神: 极度疲劳 (PERCLOS超标)
 19. 2026-03-01 18:25:22 | 🚨[极度危险] 动作: 使用手机   | 精神: 极度疲劳 (PERCLOS超标)
 20. 2026-03-01 18:25:24 | ⚠️[一般违规] 动作: 使用手机   | 精神: 正常
 21. 2026-03-01 18:25:26 | ⚠️[一般违规] 动作: 使用手机   | 精神: 正常
 22. 2026-03-01 18:25:28 | ⚠️[一般违规] 动作: 使用手机   | 精神: 正常
 23. 2026-03-01 18:25:30 | ⚠️[一般违规] 动作: 使用手机   | 精神: 正常
 24. 2026-03-01 18:25:32 | ⚠️[一般违规] 动作: 使用手机   | 精神: 正常
============================================================
 系统评价: 极度危险，建议强制休息！
